rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,text_word_am,text_word_pm,label,event_id
651,Unknown,,type,22,650,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
653,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-cast-installed,20,652,Div,24,0,,0,0,0,false,false,false,true,1,0.875,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
654,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,652,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
656,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,655,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
657,Unknown,,maximum storage duration,22,656,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
658,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,655,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
659,Unknown,,type,22,658,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
661,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-connected-devices,20,660,Div,27,0,,0,0,0,false,false,false,true,1,0.8888889,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
662,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,660,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
664,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: persistent,21,663,Div,12,0,,1,1,0,false,false,false,false,2,0.8333333,0.0,0.083333336,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
665,Unknown,,maximum storage duration,22,664,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
666,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,663,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
667,Unknown,,type,22,666,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
669,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-device-id,20,668,Div,19,0,,0,0,0,false,false,false,true,1,0.84210527,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
670,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,668,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
672,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: persistent,21,671,Div,12,0,,1,1,0,false,false,false,false,2,0.8333333,0.0,0.083333336,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
673,Unknown,,maximum storage duration,22,672,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
674,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,671,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
675,Unknown,,type,22,674,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
677,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-fast-check-period,20,676,Div,27,0,,0,0,0,false,false,false,true,1,0.8518519,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
678,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,676,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
680,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,679,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
681,Unknown,,maximum storage duration,22,680,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
682,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,679,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
683,Unknown,,type,22,682,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
685,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-session-app,20,684,Div,21,0,,0,0,0,false,false,false,true,1,0.85714287,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
686,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,684,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
688,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,687,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
689,Unknown,,maximum storage duration,22,688,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
690,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,687,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
691,Unknown,,type,22,690,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
693,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,yt-remote-session-name,20,692,Div,22,0,,0,0,0,false,false,false,true,1,0.8636364,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,true,false,false,false,false,false,false,,
694,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,stores the user's video player preferences using embedded youtube video,20,692,Div,71,1,,0,0,0,false,false,false,true,10,0.85915494,0.0,0.12676056,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
696,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,695,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
697,Unknown,,maximum storage duration,22,696,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
698,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: html local storage,21,695,Div,20,1,,1,1,0,false,false,false,false,4,0.8,0.0,0.15,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
699,Unknown,,type,22,698,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
701,A,unknown:false-;-class:cybotcookiebotdialogdetailbodycontentcookieprovider cybotcookiebotdialogcollapsed-;-href:#-;-unknown:button,bmiglobaled.com,18,700,Li,15,0,#,1,0,0,true,false,false,false,1,0.93333334,0.0,0.0,false,false,false,false,4,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
702,Div,class:cybotcookiebotdialogdetailbodycontentcookieinfocount cybotcookiebotdialogdetailbulkconsentcount,7,19,701,A,1,0,,0,0,0,false,false,true,true,1,0.0,1.0,0.0,false,false,true,true,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
705,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,sbjs_current,20,704,Div,12,0,,0,0,0,false,false,false,true,1,0.9166667,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
706,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,collects data on user behaviour and interaction in order to optimize the website and make advertisement on the website more relevant.,20,704,Div,133,1,,0,0,0,false,false,false,true,21,0.84210527,0.0,0.15037593,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
708,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,707,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
709,Unknown,,maximum storage duration,22,708,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
710,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: http cookie,21,707,Div,13,1,,1,1,0,false,false,false,false,3,0.7692308,0.0,0.15384616,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
711,Unknown,,type,22,710,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
713,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,sbjs_current_add,20,712,Div,16,0,,0,0,0,false,false,false,true,1,0.875,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
714,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfodescription,collects data on user behaviour and interaction in order to optimize the website and make advertisement on the website more relevant.,20,712,Div,133,1,,0,0,0,false,false,false,true,21,0.84210527,0.0,0.15037593,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
716,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: session,21,715,Div,9,0,,1,1,0,false,false,false,false,2,0.7777778,0.0,0.11111111,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
717,Unknown,,maximum storage duration,22,716,Span,24,0,,0,0,0,false,false,false,true,3,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
718,Span,class:cybotcookiebotdialogdetailbodycontentcookieinfofootercontent,: http cookie,21,715,Div,13,1,,1,1,0,false,false,false,false,3,0.7692308,0.0,0.15384616,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
719,Unknown,,type,22,718,Span,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,
721,Unknown,class:cybotcookiebotdialogdetailbodycontentcookieinfotitle,sbjs_first,20,720,Div,10,0,,0,0,0,false,false,false,true,1,0.9,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
