iter	Passed	Remaining
543	41210	34544
544	41279	34462
545	41348	34381
546	41424	34306
547	41494	34225
548	41562	34143
549	41629	34060
550	41698	33979
551	41764	33896
552	41831	33813
553	41900	33732
554	41967	33649
555	42033	33566
556	42101	33484
557	42179	33411
558	42261	33340
559	42331	33260
560	42449	33217
561	42563	33172
562	42627	33087
563	42703	33011
564	42789	32944
565	42865	32868
566	42937	32789
567	43007	32710
568	43117	32660
569	43193	32584
570	43260	32502
571	43327	32420
572	43394	32337
573	43461	32255
574	43532	32176
575	43602	32096
576	43677	32020
577	43752	31944
578	43826	31866
579	43895	31786
580	43963	31705
581	44034	31625
582	44104	31546
583	44170	31464
584	44238	31383
585	44308	31303
586	44379	31224
587	44484	31169
588	44560	31093
589	44633	31016
590	44714	30944
591	44800	30875
592	44875	30800
593	44944	30719
594	45023	30646
595	45095	30568
596	45165	30488
597	45248	30418
598	45317	30337
599	45402	30268
600	45474	30190
601	45551	30115
602	45628	30040
603	45719	29975
604	45791	29897
605	45868	29821
606	45950	29750
607	46024	29673
608	46102	29599
609	46181	29525
610	46251	29446
611	46317	29364
612	46397	29291
613	46478	29219
614	46556	29144
615	46640	29074
616	46712	28996
617	46789	28921
618	46865	28845
619	46934	28766
620	47009	28690
621	47079	28610
622	47155	28535
623	47221	28454
624	47286	28371
625	47358	28293
626	47433	28217
627	47511	28143
628	47580	28064
629	47655	27988
630	47721	27907
631	47793	27829
632	47864	27750
633	47933	27671
634	47999	27590
635	48074	27514
636	48140	27433
637	48205	27351
638	48277	27273
639	48348	27195
640	48424	27120
641	48497	27044
642	48567	26965
643	48638	26887
644	48776	26846
645	48852	26770
646	48919	26690
647	49004	26619
648	49076	26542
649	49145	26462
650	49213	26383
651	49288	26307
652	49353	26226
653	49423	26147
654	49497	26070
655	49575	25996
656	49650	25920
657	49727	25846
658	49799	25769
659	49867	25689
660	49935	25610
661	50009	25533
662	50085	25458
663	50163	25383
664	50234	25306
665	50309	25230
666	50372	25148
667	50439	25068
668	50516	24994
669	50589	24917
670	50660	24839
671	50732	24762
672	50807	24686
673	50879	24609
674	50952	24532
675	51018	24452
676	51087	24374
677	51158	24296
678	51229	24219
679	51293	24138
680	51357	24057
681	51424	23977
682	51504	23904
683	51580	23829
684	51651	23752
685	51723	23675
686	51795	23598
687	51865	23520
688	51935	23442
689	52001	23363
690	52067	23283
691	52138	23206
692	52209	23128
693	52279	23051
694	52342	22970
695	52414	22893
696	52494	22820
697	52583	22750
698	52655	22674
699	52721	22594
700	52794	22518
701	52868	22442
702	52932	22362
703	53002	22285
704	53069	22206
705	53136	22127
706	53207	22050
707	53281	21974
708	53348	21896
709	53416	21817
710	53489	21741
711	53557	21663
712	53631	21588
713	53702	21511
714	53767	21431
715	53854	21361
716	53934	21287
717	54014	21214
718	54107	21146
719	54192	21074
720	54270	21000
721	54356	20929
722	54425	20852
723	54500	20776
724	54570	20699
725	54642	20622
726	54724	20550
727	54792	20472
728	54860	20393
729	54929	20316
730	54994	20237
731	55059	20158
732	55135	20083
733	55212	20008
734	55280	19931
735	55346	19852
736	55413	19774
737	55499	19703
738	55582	19630
739	55651	19553
740	55730	19479
741	55807	19404
742	55883	19329
743	55954	19253
744	56035	19179
745	56108	19104
746	56177	19026
747	56241	18947
748	56313	18871
749	56386	18795
750	56469	18722
751	56538	18645
752	56615	18570
753	56685	18494
754	56752	18416
755	56820	18339
756	56919	18271
757	57015	18202
758	57101	18131
759	57182	18057
760	57261	17983
761	57346	17911
762	57430	17838
763	57526	17770
764	57605	17695
765	57690	17623
766	57768	17548
767	57844	17473
768	57931	17402
769	58011	17327
770	58098	17256
771	58188	17185
772	58284	17115
773	58384	17047
774	58474	16976
775	58560	16903
776	58643	16830
777	58725	16757
778	58802	16682
779	58884	16608
780	58961	16533
781	59035	16457
782	59107	16380
783	59191	16307
784	59271	16233
785	59352	16159
786	59437	16086
787	59523	16013
788	59614	15942
789	59692	15867
790	59778	15794
791	59858	15720
792	59935	15645
793	60024	15573
794	60101	15497
795	60176	15422
796	60263	15349
797	60353	15277
798	60448	15206
799	60527	15131
800	60605	15056
801	60683	14981
802	60765	14907
803	60837	14830
804	60912	14755
